alt,caption,dimensionsHeight,dimensionsWidth,displayUrl,locationId,location Name,owner Full Name,owner Username,timestamp
"Photo by Creative Multimedia Club (CMC) on May 10, 2025. May be an illustration of poster, magazine and text that says ""MMMU LTINCDIAUMIVE THEAIRICAIPERFORMANCE HEATRICAI TRICAL PERFORMANCE RUMAH KOSONG 15-17 MAY 2025 8.30 NICI FCM Gallery, Faculty Creative Multimedia, MMU, Cyberjaya 010 ...... Imbas QR untuk ticket TICKETPRICE RM50 RM 50 ADULT RM RM30 30 STUDEN RM 100 1ΕO GROUP GROUPİSTJDENTI ISTUDENTI DATO SERI DATOYSERIDR.JA.SAMADSAD IDR.JA A SAMAD SAID IRYAN IDA MUI IRYANDAMULIARAMLY A RAML NFOATCKET 0133117625(Ela) 013 7625 (Ela) Cmmy MULTIMEDIA TMCROU CROLP"".","The ‘Rumah Kosong’ theatre is one of the highlights of Apresiasi A.Samad Said 2025 program. ⭐️

Organised by @pertubuhan_seninusantara together with @creativemmu, @mmumalaysia, Crisscut Design and @manggis.group, this program aims to honour the works and legacy of National Laureate Dato’ (Dr) A. Samad Said through digital, interactive, and contemporary approaches.

🗓️15-17 May 2025
📍FCM Gallery, Faculty of Creative Multimedia, Multimedia University, Cyberjaya

Any enquires please contact:
Bhuvanesh Rao (Director)
016-2587025
Creative Multimedia Club

#AS2025XCMC #AS2025 #asamadsaid #fcmmmu #mmucyberjaya #thereisuinmmu #creativemmu #creativemultimediaclub #cmc #immersiveart #theatrical",1350,1080,https://scontent-man2-1.cdninstagram.com/v/t51.2885-15/497558113_18369209929123518_2083788943807964801_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEqKr4Cmvd9HOXVDum58OeDjfynwGDafJIEUgrYY5tuETvmyk4YDAyrb4tA8Y2ln7c&_nc_ohc=WZlp-8K-CewQ7kNvwHEkLHk&_nc_gid=P9dnY687CEIFeH4HgCZEKg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKTRr7X6DOowpkZA1oZuFATnghgmmkwtNIRsLCOTcCJZw&oe=68276462&_nc_sid=10d13b,,,Creative Multimedia Club (CMC),cmcmmu,2025-05-11T03:42:49.000Z
"Photo by Creative Multimedia Club (CMC) on May 10, 2025. Pode ser uma ilustração de 1 pessoa, pôster, revista e texto que diz """"MMU® MULTIMEDIA UNIV VERSITY APPRECIATING A.SAMAD SAID 2025 AN EXPLORATION OF THE INTERPRETIVE WORKS FROM THE COMPETITION, DARI KATA E KANVAS GALERI DUNIA A. SAMAD SAID 15- 27 MAY 2025 'RUMAH KOSONG' THEATRE PERFORMANCE 15 15-17 17 MAY 2025 WRITTEN BY ALAYSIAN NATIONAL LAUREATE DATO' SERI (DR.) SAMAD SAID ADAPTED: DIRECTED IRYANDA MULIA RAMLY LOCATION: FCM GALLERY FACULTYO CREATIVE MULTIMEDIA MULTIMEDIA UNIVERSITY, OMMU PRESICS-NESE CREATIVE MULTIMEDIA TM GROUP"".","Mark your dates for some fun activities and cool exhibitions in appreciation of Dato’ Seri (Dr.) A. Samad Said! 🤩 Swipe to see what’s happening ➡️

Date:
🗓️Exhibition: 15-27 May 2025
🎭 Theatre Performance ‘Rumah Kosong’: 15-17 May 2025
📍FCM Atrium & FCM Gallery, Faculty of Creative Multimedia, Multimedia University, Cyberjaya 

Any enquires please contact:
Bhuvanesh Rao (Director)
016-2587025
Creative Multimedia Club

#AS2025XCMC #AS2025 #asamadsaid #fcmmmu #mmucyberjaya #thereisuinmmu #creativemmu #creativemultimediaclub #cmc #immersiveart #theatrical",1350,1080,https://instagram.fthe14-1.fna.fbcdn.net/v/t51.2885-15/496963429_18369207988123518_123688420542741271_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fthe14-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEqqJFjGToQAwN1dP7dQ61zBlQgTvwVHJj_VeqkmcrsJPI90xEiE0fgeieXEan_ptg&_nc_ohc=a3oLu9ICmhsQ7kNvwGAKQo7&_nc_gid=wGSzf-9fV78cJ7TGlQ1UKQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJJ9U5Um50BPvpdlTevWGTEZWOg5VaM6oZN2jbifsfpBA&oe=68274BFD&_nc_sid=10d13b,,,Creative Multimedia Club (CMC),cmcmmu,2025-05-11T03:17:35.000Z
"Photo shared by Creative Multimedia Club (CMC) on April 13, 2025 tagging @srcmmu_cyber, and @csrwmmu_cyber. May be pop art of poster, water bottle, magazine and text.","Swing by Booth 12 @ Plaza Central this 14–15 April, 9AM–6PM and discover what Creative Multimedia Club (CMC) is all about!

Join Creative Multimedia Club (CMC) and enjoy:

1. Hands-on design workshops
2. Leadership skill glow-up
3. Meet your fellow creative besties
4. Get your work seen through our platform

Come vibe with us😾🤘🏻tap on the link in our bio for member registration🔗",1350,1080,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/489817950_18365943610123518_4383919346996515348_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QF3VMUwcvbSHUHdcfO-Y3YkZOVef2I0dM73M2CixXvFwLKoY07SdrqWjY9QqQ9r-s0&_nc_ohc=V8_dFLx8yrIQ7kNvwF6M_al&_nc_gid=3MQojDImRfXy_k7qE7H3bg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJNOO1CAPhihtlTJncIORVTbtdDkQIk9g_-WxbsbQdSnA&oe=6827606E&_nc_sid=10d13b,,,Creative Multimedia Club (CMC),cmcmmu,2025-04-14T05:05:09.000Z
,"Selamat Hari Raya !🌙✨May your raya be as sweet as dodol and as bright as pelita!

#Eidmubarak #cmcmmu #fcmmmu",937,750,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/488217273_18363778048123518_2947449449415907832_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QErMTCpYt3QtMTzbcCM3a2ejUq-9gNqtz6IIfIXq64mtrHtQPC9wHSekxxOx6PL6zw&_nc_ohc=Q1IImnWI8Z4Q7kNvwGQTYhH&_nc_gid=wStndhXhCrsHmkZL2Iv_Lg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJ14ZL-7qwl-cn7dxM4Ga_PWEBQ27X8OPXm3cVSqthE_Q&oe=6827720D&_nc_sid=10d13b,,,Creative Multimedia Club (CMC),cmcmmu,2025-03-31T01:06:04.000Z
"Photo by Bursa Young Investor Club on April 13, 2025. May be an image of poster and text that says 'DMMU MULTIMEDIAONIVERSITY ULTIMEDIA NIVERSITY SYAM 三 BYIC CSRW BURSA YOUNG INV ESTOR CLUB 14 14&15APRIL 15 APRIL 9 9 AM 4 PM Step into the financial jungle discover, learn, and grow with BYIC!'.","Step into the Jungle of Finance!
Join us this 14 & 15 April from 9 AM - 4 PM for CSR Week and explore the wild world of investing with the Bursa Young Investor Club (BYIC)!

Scan the QR code to sign up — membership is only RM5!
Whether you’re a curious cub or a savvy lion, there’s something for everyone to discover.

Let’s grow together — financially and as a community!
#BYICMMU #CSRWeek2025 #FinancialJungle #JoinTheClub #MMUCyberjaya #StudentLife #InvestSmart",1080,1080,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/491903155_18040975766626109_8769034308086085494_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFQO6Rmo-_N3L8dwVtx3TVGPyrBO85MyOJsagYyooNiqSzfOd8_I1WSEmy6hA2NSlA&_nc_ohc=Nuv3LIrb5pMQ7kNvwEe8wN8&_nc_gid=wg-c0lxNE8xMiNi1eIwXtw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfITL3Us2j1bMd6pRrhV6hmf4Ki3A9HA9cUDeQm6AnqZqQ&oe=68276188&_nc_sid=10d13b,,,Bursa Young Investor Club,byic.mmu,2025-04-14T02:47:29.000Z
"Photo by Bursa Young Investor Club on March 15, 2025. May be an image of 4 people, people studying, screen, bureau, newsroom, office and text.","""Officially started my trading journey with Affin Hwang Bank! ""

Excited to explore new investment opportunities, learn the market, and make strategic moves. Here's to a future of smart investing and financial growth! 

#AffinHwang #StockMarket #TradingJourney #InvestSmart",1080,1080,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-15/484640738_18037615919626109_2441599967638565368_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QElZuNavo_FVRmJHlROl05BDcxDoiNRmhLKyeoxjjo64lfHIOYUe8dhWm_i1foxYVUDcoLulXWyhlfxy8QmDQLR&_nc_ohc=zxeXRHOUG7oQ7kNvwH4Bfck&_nc_gid=ZhoK6Oe98ITsJZ2rE4xL3A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJdFPctKoz2BlB7UeJlZVLRdLK-pyn4UpiheYfEjduSFA&oe=6827664A&_nc_sid=10d13b,,,Bursa Young Investor Club,byic.mmu,2025-03-15T14:57:32.000Z
"Photo by Creative Multimedia Club (CMC) on March 15, 2025. May be an image of computer keyboard, crossword puzzle and text that says 'Come join us! don't esc 賞'.","Join a community that supports you, brings people together, and sparks creativity through fun activities.

Sign up now and be part of something amazing 👾💥!
#cmcmmu #fcmmmu #creativemultimediaclub",1350,1080,https://instagram.fkin1-1.fna.fbcdn.net/v/t51.2885-15/485066019_18361430560123518_3930668776839561150_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fkin1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEeVorNqwk0QltFaAKEQB5fV445t0ol59AS8tRicXsnsDH7Yy_VfoCuxwga3gZR9RQ&_nc_ohc=Z7Y8PxUihd4Q7kNvwHg1AmH&_nc_gid=emzB5i26apVdQgtkslyIYA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfITRkFYhuGMRSFJ-HUrQzcJViNwYq1IWdBMRG28gH9kdw&oe=682744BC&_nc_sid=10d13b,,,Creative Multimedia Club (CMC),cmcmmu,2025-03-15T22:21:50.000Z
"Photo by Bursa Young Investor Club on March 15, 2025. May be an image of 6 people and text that says 'ம CIAL FREEDOM N PUI FUNG'.","""That’s a wrap on 'Think Rich, Play Smart'! ""💡💰 

A big thank you to everyone who joined us on Jan 9, 2025, for an enriching session on wealth and financial literacy. From smart investment strategies to financial planning, we explored key insights to build a secure and prosperous future. 🌟 

Stay tuned for more empowering events!

#ThinkRichPlaySmart #FinancialLiteracy #WealthBuilding #LFPSolutionConsultancy""",720,1080,https://scontent-jnb2-1.cdninstagram.com/v/t51.2885-15/484815321_18037619819626109_2247593237038745618_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-jnb2-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFH2MJEM84yj4sxKHT71_L2Sei0hfsV4K6U6u1LVNyI0QEz73l2i220HWFTN5bousk&_nc_ohc=y8jpHc51QAsQ7kNvwEf4Rqu&_nc_gid=NosE0E3qp40rTAkDBIpSMA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLWq0tZkIaE22bt_F_1jYBCTDL6T6haZPjxpd5_QZ7vUw&oe=6827454C&_nc_sid=10d13b,,,Bursa Young Investor Club,byic.mmu,2025-03-15T15:25:03.000Z
"Photo by Bursa Young Investor Club on March 15, 2025. May be an image of printer, screen, banner, office and text.","""That's a wrap on Finworld's Intro to Stock Trading workshop! 🚀""

A huge thank you to everyone who joined us on Dec 5, 2025—we covered market fundamentals, trading strategies, and how to make informed investment decisions. 📈💡 

Stay tuned for more sessions to level up your financial game!

 #Finworld #StockTrading #InvestSmart",1080,1080,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/484298979_18037618544626109_4493569245828141594_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEonc2yngip1B1CJPKxtIQXvGNB12gu4eKGpJmDX3z6rSVaRfX4wFD8dcObTDscdd4&_nc_ohc=CBlX6VdBLfoQ7kNvwFjcv_u&_nc_gid=5buN5_ZyeSp2-yPPsN0gOw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfL7Dx1TddHNOUsZbWCWKlj8oi-TtdMCABsDL_T9gsqleA&oe=68275396&_nc_sid=10d13b,,,Bursa Young Investor Club,byic.mmu,2025-03-15T15:09:39.000Z
,"“That’s a wrap on ‘Think Rich, Play Smart’! “💡💰 

A big thank you to everyone who joined us on Jan 9, 2025, for an enriching session on wealth and financial literacy. From smart investment strategies to financial planning, we explored key insights to build a secure and prosperous future. 🌟 

Stay tuned for more empowering events!

#ThinkRichPlaySmart #FinancialLiteracy #WealthBuilding #LFPSolutionConsultancy”",360,640,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/485077743_1637659603541970_3363733244984772523_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG44p6qmVetzuy03ebIbc7Qd_VjSU6nKJS4nDP7SFYx05uykXB_1GZoKz1S4hyANo5QnthsLCKe_7AQnQTRi8ZN&_nc_ohc=Br4hr4GLJUIQ7kNvwHHwDtA&_nc_gid=MZJxfBiXmc221mp4nNDAbA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKACJwNfRdiRMEOfmlh-8XIMD7lbgBrV9E6fQW2Jo41Uw&oe=68275BD6&_nc_sid=10d13b,668389676,Multimedia University,Bursa Young Investor Club,byic.mmu,2025-03-19T21:45:59.000Z
