caption,alt,shortCode,displayUrl,locationName,ownerFullName,locationId,timestamp,predicted,details,title,date,time,location
"Curious how IT drives real business impact?
Wanna learn the real skills that make grads stand out?

Come join us at the IT in BUSINESS: REAL SKILLS FOR REAL IMPACT webinar by UniPin!

Date: 12 May 2025 (Monday)
Time: 4:00 PM – 5:15 PM
Venue: Zoom (Online)
Fee: FREE!

Featuring a talk by:
◆ Ganesh Patmanathan (Deputy CTO, UniPin)
Gain insights from 25+ years of industry experience in digital transformation and IT strategy.

What you’ll learn:
-  How IT transforms business
- Top tech + soft skills for career success
- What hiring managers actually look for

Beginner-friendly, practical, and packed with career value.
Final-year students & fresh grads — this one’s for you!

Register now at: https://forms.office.com/Pages/ResponsePage.aspx?id=z18LfsQS_06WtkZk8l3H2vGEEbMbc-FLgcrqNpLwDcdUNUZWTDExQjRGVzk4SUwyS1dIR0laTURQTi4u&origin=QRCode","Photo by IT Society MMU Cyberjaya on April 30, 2025. May be an image of 2 people, magazine, screen, poster and text that says 'UniPin GMMU MULTIMEDIA NULTINEOIAURIVEESITY AUNIVERSIE iT MD PremierCigital IT in Business: Real Skills for Real Impact 12m 4PM PMUNTIL UNTIL S.15PM A Career Toolkit for Graduates and Young IT Professionals What gain: How IT drives business transformation Jumpstart Your Tech JumpstartYour Career The tech 6 soft skills every graduate needs Insider tips on what top employers look for REGISTER NOW SPEAKER Ganesh Patmanathan Deputy TO UniPin "" We drive Innovation that delivers real-world impact and you can too. Carmen Tan Assistant Marketing MлaAer. UniPin wWw Unipin. .com f UnipinMalaysia Unipin © Unipin_ Malaysia Unipin Gaming LEAD IMPACT GLOBALLY. unipingamingmy'.",DJEVU6ZyH6W,https://instagram.fbgw66-1.fna.fbcdn.net/v/t51.2885-15/491894909_18277133755267148_8506279520842061605_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fbgw66-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEltAN3g9DozZVVgo-b-HgJOkEyHRcBvPCY5I60HFkHsL8raBkU8Wl0ntQz-PV8-UM&_nc_ohc=zjCnw0uV80oQ7kNvwHU8nWm&_nc_gid=5JBCxVH-wNAG7u1WmOoBRQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfPqdg055Oxl7XcaQDyldjX6X3Qq9siDpDM5_TrTww5pzw&oe=684CB757&_nc_sid=10d13b,,IT Society MMU Cyberjaya,,2025-04-30T10:40:34.000Z,1,- Title: IT in BUSINESS: REAL SKILLS FOR REAL IMPACT webinar by UniPin- Date: 12 May 2025- Time: 4:00 PM – 5:15 PM- Location: Zoom (Online),IT in BUSINESS: REAL SKILLS FOR REAL IMPACT webinar by,20250512,4:00 PM – 5:15 PM,Zoom (Online)
"🚀 Tech Career Day 2025 – Shape Your Future in Tech! 🚀

IT Society MMU Cyberjaya invites you to the biggest tech career event in MMU! Join us on 29th May 2025 (10AM–6PM) at the Multipurpose Hall (MPH), MMU Cyberjaya, for a day packed with opportunities, inspiration, and connections. 

✨ Why Attend?
🔹Explore careers in R&D, cloud tech, IoT, and innovative digital solutions. 
🔹 Network with industry leaders and fellow tech enthusiasts. 
🔹 Gain insights from exclusive sessions and potential job openings! 

📌 How to Join? 
1️⃣ Register NOW via our Luma link in our bio
2️⃣ Register on our website: 🌐 
[www.itsocietymmu.com/tech-career-days] 

Don’t miss this chance to launch your tech career! Tag your friends, share this post, and let’s build the future together. See you there! 💻💻 

#mmu #TechCareerDay2025 #MMUCyberjaya #MMUMelaka #TechNetworking #TechEvent #futureready #InternshipOpportunities #JobHunters","Photo shared by Tech Career Days 2025 on May 22, 2025 tagging @itsocietymmu. May be a graphic of poster, magazine and text that says 'MD iT PremlerDigital Premiari Techinstitulion ' MULTIMEDIA UNIVERSITY XXXX XX X 2025 TECH CAREER Days O 29TH MAY 2025, 10AM - 6PM MULTIPURPOSE HALL (MPH), MMU CYBERJAYA REGISTER NOW SPONSORED COMPANIES! >>>>> RUNCLOUD AGTIV INCHZIOT International 닛 Webby Group Touch nGO ALPHV COME Delyva Grab D SHORTCUT ASIA ebright SCANME! ME! Developmant BHAMASTE Keep updated Keepupdatedatourwebsite: at our website: WWW.FSOCIETHW.COMTECH-ARER- XXX TCĐ TM GROUP'.",DJ87TsSRqNN,https://instagram.fbey5-1.fna.fbcdn.net/v/t51.2885-15/499576501_18034219163656910_5265532638157041325_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fbey5-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QG-fEvlL0ZusdfbQ_7XtaXZLlPiq2bx9wUjJY5VtvW9VMOD9Y5q_CIcG_7tKoNW3Y8&_nc_ohc=d34MeWNgE7oQ7kNvwHY3tK6&_nc_gid=aqt-sVt4T-uOjFRdJ-Qo6Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOwroPRzxEGwmjUlh_pIKXKJVYtP4r_6nrNLkdUrYORlg&oe=684CA79B&_nc_sid=10d13b,,Tech Career Days 2025,,2025-05-22T10:09:55.000Z,1,"- Title: Tech Career Day 2025 – Shape Your Future in Tech!  IT Society MMU Cyberjaya- Date: 29 May 2025- Time: 10AM-6PM- Location: Multipurpose Hall (MPH), MMU Cyber",Tech Career Day 2025 – Shape Your Future in Tech!,20250529,10AM,"Multipurpose Hall (MPH), MMU Cyber"
"🔥 Hands-On Soldering Workshop Alert! 🔧
Build circuits, sharpen skills, and bring home your Soldering Kit + Project Kit !!🎓⚙️

📅 Date: June 18, 2025 (Wednesday)
⏰ Time: 10:00 AM – 1:00 PM
📍 Venue: Control & Automation Lab, FAIE

💥 Only 15 seats available – register by June 8!
💸 Fee: RM25 (Exemption Letter Provided)

Gain practical experience, develop real engineering skills, and take home tools for your own projects!! #engsoc","Photo by EngSoc MMU Cyberjaya on May 26, 2025. May be pop art of crossword puzzle, poster and text.",DKJL-TuSpv3,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/501783315_18040401122630956_6838333223093209895_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGmLt4zYi5UGvpgn14SdMNEIcBuvlWl0_69BndjqLCDVqiGemSrhsF98WWPm3EkY70Rs_yTGu2ldH3_kro46FJW&_nc_ohc=sFbD_vXswxsQ7kNvwEfFrP4&_nc_gid=-q25fty7C_sdmAt7PN-zBQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfNY83684MS0i-E75uHW0YARYPfl_h2r5sRBPvHgIx7fJw&oe=684CA4DA&_nc_sid=10d13b,,EngSoc MMU Cyberjaya,,2025-05-27T04:26:26.000Z,1,"- Title: Hands-On Soldering Workshop Alert!  Build circuits, sharpen skills, and bring home your Soldering Kit + Project Kit !!  Date: June 18, 2025 (Wednesday)",Hands,20250618,,
"Cast your votes here: https://linktr.ee/D.I.C.E

🕰️ Community Vote Deadline: 30th April 2025

Forge Me is a character design competition hosted by DICE. After many weeks, 6 artists have submitted their work to gain a chance at winning prizes. 

The judges have casted their vote, but now it's up to the community. We'd love to hear from you. 

Take a look at the competitors' characters and stories. The winner will win the title of Community Favorite!","Photo by Dive Into Imagination for Creative Entertainment on April 23, 2025. May be pop art of poster and text.",DI0bszETI9p,https://instagram.fman2-2.fna.fbcdn.net/v/t51.2885-15/491440863_18074696977890946_2090309670766160444_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fman2-2.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QECS8HWOKqj4ulU0YeNClBySE4Za7hHHCAy-fKBXM75DvPwDBX-PEQIxKeaHO-V1kI&_nc_ohc=8aKqw7eqJqwQ7kNvwFtXIXH&_nc_gid=Ah4TM-qldvYbnzq8_yRJWg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOSQCIkA3obZF0UK45PtjGFSyRqT4j5xrXly-9YXhPeTQ&oe=684CBA9D&_nc_sid=10d13b,,Dive Into Imagination for Creative Entertainment,,2025-04-24T06:28:24.000Z,1,- Title: Forge Me - Date: 30 April 2025 - Time: 10:05 - Location: https://linktr.ee/D.I.C.E - Artist: 6 - Category: Community Favorit,Forge Me,20250430,10:05,https://linktr.ee/D.I.C.E
"🔥 Hands-On Soldering Workshop Alert! 🔧
Build circuits, sharpen skills, and bring home your Soldering Kit + Project Kit !!🎓⚙️

📅 Date: June 18, 2025 (Wednesday)
⏰ Updated Time: 2.00 PM - 5.00 PM ( DO TAKE NOTE)‼️‼️
📍 Venue: Control & Automation Lab, FAIE

💥 Only 15 seats available – register by June 8!
💸 Fee: RM25 (Exemption Letter Provided)

Gain practical experience, develop real engineering skills, and take home tools for your own projects!! #engsoc","Photo by EngSoc MMU Cyberjaya on May 26, 2025. May be an image of poster and text that says 'MMMU ENGSUC WJLTIVEDTNUNIERSTTY DTA SOLDERING STTY EMENIENG मा LNVERATY Workshop REGISTRATION FEE RM25 WWW.ENGSOC.COM www. DATE JUNE 18, 2025 (Wednesday) TIME 10:00 AM- 1:00 PM LIMITED tO 15 SEATS VENUE CONTROL LAB, FAIE AUTOMATION REGISTER DEADLINE JUNE 8, 2025 EXEMPTION LETTER WILL BE PROVIDED YOU WILL BE BRINGING HOME: SOLDERING KIT PROJECT KIT CERTIFICATE joir ζίyπoμν now'.",DKJL77OSnrj,https://instagram.fmcz15-1.fna.fbcdn.net/v/t51.2885-15/500570621_18040401098630956_7271691923556611516_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fmcz15-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QEK6ZarHVTTisC8jHvxQrEEzgxEsTEaU5lZ_AlEgw8SNLgj1TQXiNRLkme1UVYVLfu0ltT8_nU5h0D_nzM-dl0H&_nc_ohc=f4ljXPcUZz8Q7kNvwGSza7a&_nc_gid=EP_w6--VCout3dxFdCM8ow&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfPkZhYHwgbFGNH_-i3C56ZDvX5X_fxvY8RcjT7Y_J-hpQ&oe=684C9EEC&_nc_sid=10d13b,,EngSoc MMU Cyberjaya,,2025-05-27T04:26:06.000Z,1,"- Title: Hands-On Soldering Workshop Alert!  Build circuits, sharpen skills, and bring home your Soldering Kit + Project Kit !!  Date: June 18, 2025 (Wednesday)",Hands,20250618,,
"📈💥 CHART ATTACK: FLY OR CRASH? 💥📉
Think you can predict if a stock’s going 🚀 to the moon or 💥 crashing hard?
It’s time to put your chart-reading skills to the test!
Join us for an exciting stock chart showdown with Ms. Janice from Finworld Technology 🔥

🗓️ 11 June 2025
🕓 4.30 PM - 6.30 PM
📍 FAIE CLCR 3044

💡 Learn. Play. Win.
There are prizes to be won and charts to conquer. Don’t miss it!

👉 Tap the link / scan the QR to register now — let’s see if YOU can tell the difference between a bull and a bear! 🐂🐻

https://docs.google.com/forms/d/e/1FAIpQLSeaFfwjUZUWP5esdqODIzXPVf8GKpsjm27l6TwGLrWHdFrCQw/viewform","Photo by Bursa Young Investor Club on May 29, 2025. May be an image of ‎1 person and ‎text that says '‎oM مح BYIC MULTIMEDIA! NULTIMEDIAUNIVERSITY UNIVERSITY Bursa Youne InvestorClub Club MULTIMED UNINENSITCY新EHI認T CHEERIAYA CHART ATTACK: FLY OR CRASH? อส 11 JUNE 2025 4.30 FAIE CLCR FAIECLCR3044 3044 6.30 PM Learn about real stock charts and the way to predict whether the stocks ""flew"" high or ""crashed"" hard Ms. s.Janice Coo, Marketing Manager Finworld Technology REGISTER NOW ! IN COLLABORATION WITH byic.mmu TM GROUP‎'‎‎.",DKPNh0USMWa,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/501918037_18046338329626109_8126175348176615810_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFjSy2MNywI8kIc7hfHbaZRrrOeJiJp_T3QzgkVlHJcpPNFeBTAE3Qg2Yit8Jspbqc&_nc_ohc=q3_jGRBs2CoQ7kNvwHxyHsm&_nc_gid=5r0CTLrTEUADyBiFp4uskA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOXutFShehEq2rhe4AykrunORQK7O4dyEoyM-LQiEX1-Q&oe=684CCBB8&_nc_sid=10d13b,,Bursa Young Investor Club,,2025-05-29T12:35:27.000Z,1,- Title: Chart Attack: Fly or CRASH?  Think you can predict if a stock’s going  to the moon or  crashing hard? It’s time to put your chart-reading skills to the test!,Chart Attack: Fly or CRASH? Think you can predict if,,,
"Catch the box before it hits you! 📦 Let’s come up with new ideas to improve our faculty! 🗣️

Join us at the FAC Townhall & RSVP now❗️

🗓️Date: 30th April 2025
📍Venue: CNMX 1005 
🕗Time: 8pm to 10pm

It’s a safe space for worries to be heard and questions to be answered! An open mind will ensure an open community within the faculty 🫵🏼✨ 

#writeyourstorywithcommsoc #yourstorybeginshere #commsoc",,DI_KMAjSk3P,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/491897366_17962780034873735_7560751618123216765_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QETWc3VfZUOSAR8GvYBiyFtlQfZaFH02RIEDXqvJd_nclpIkeM7-ryMe7py-gpLwEtOsDQnLamplOZEgSSYNlHk&_nc_ohc=0UBBS0xa9z8Q7kNvwFuCYRe&_nc_gid=paop3pVsLMeBwS4jbB0kUQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfPk0yL6zbZ7EojYJloWqKNWJXA6IxdsIB2v70r6TiDCIg&oe=684CB5A7&_nc_sid=10d13b,,Communication Society MMU Cyberjaya,,2025-04-28T10:30:19.000Z,1,- Title: Catch the box before it hits you!  Let’s come up with new ideas to improve our faculty!  Join us at the FAC Townhall & RSVP now Date: 30th April 2025,Catch the box before it hits you! Let’s come up,20250430,,
"Think you’ve got the voice to wow the crowd😻?
Whether you sing like a superstar or just love singing your heart out with friends — the mic is yours😆🎤Join us for Open Mic Karaoke

Date: 16th May 2025
Time: 12PM – 5PM
Venue: FCM Atrium

Bring your vibe, and your best shower-singing energy🔥
Let’s make some noise, MMU🤯

#AS2025XCMC #AS2025 #asamadsaid #fcmmmu #cmcmmu #creativemultimediaclub #mmucyberjaya","Photo by Creative Multimedia Club (CMC) on May 15, 2025. May be an image of ‎microphone, poster and ‎text that says '‎n777 // LMMU হ כרי>> MULTINEDIA Can NULTINEDIAUNIVERSITY 1AH ง 식I정동을 UNIVERSITY NIVERSIT CREATIVE M3 cLuB OpenMic Open enMic Kardoke Friday 16.05.2025 FCM, Atrium 12pm-5pm‎'‎‎.",DJqyNTGxU3v,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/496926107_18369728956123518_4043165460574343353_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEXfY5XhT6cPKtXUt4mmm010ROMi5Ct38oxWMJ9r7eM2SPGm3z9I2UvuzTmbYzA2rO6f8k085h2P7nshAUyM4oA&_nc_ohc=9Q2AnXbBxWcQ7kNvwEDgcix&_nc_gid=hsj0u5rlwAyIW6xi7Ma4Fg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMhwKLmp2Ajgzqt7QdLNc913lLgHNI-ynk0dbHXNuj6mw&oe=684CBF51&_nc_sid=10d13b,,Creative Multimedia Club (CMC),,2025-05-15T09:04:04.000Z,1,- Title = Open Mic Karaoke- Date = 16th May 2025- Time = 12pm - 5pm- Location = FCM Atrium,,,,
"🧘‍♀️ PILATES vs PILOXING 🥊

‼️CALLING ALL FEMALES‼️
Which side are you on? Come break a sweat and find out! 💪🔥

📅 14th June 2025
⏰ 8.30AM – 12.00PM
📍 FCM Atrium, MMU

⚠️ Female-only Event 
💵 RM20 (Members) | RM30 (Non-members)
‼️ Don’t forget to bring your own mat!
📲 Scan the QR code to register now — limited slots available!

#MMU #TechgirlsMMU #PilatesVsPiloxing #WorkoutEvent #FitnessChallenge #BringYourMat #StayActive #MMUEvents #mmucyberjaya #cyberfitness",,DJ8hGDlviTZ,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/500036538_739075171883818_7879272423040137210_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QE-6h5XNw8rAzFsW1jAyCsIGF51e7OwTAspYYjQKIMhIOoRXOek4k2qGL4vhdRkJ_w&_nc_ohc=uNiIMcw-rygQ7kNvwGio_n9&_nc_gid=4PJ16ueyXCTzmQH8-8nH9g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfO-B2aHcKaXyCSbGi5QFxW9-RBzZW_aL7lDuAtXHksBsw&oe=684CAC6A&_nc_sid=10d13b,,Cyber Fitness Club (CFC),,2025-05-22T06:22:22.000Z,1,- Title:,:,,,
"📢 Day 4 – June 13, 2025 (Friday)
🤖 From prompts to full-blown AI agents!

We will close out AI Study Jam Week with:
⚙ ""Gemini in Action – From Prompts to AI Agents""
👨‍🏫 Speaker: Mr. Hassan Abid
🧠 Chief Technology Officer at BeLive

Date: 13th June 2025 (Friday)
Time: 8:00 PM – 10:00 PM (GMT+8)
Platform: Bevy Online

Don’t miss this hands-on exploration into agentic AI systems!
🔗 Save your seat: https://forms.gle/XtvnpfHAdnuPiGma9","Photo by Google Developer Groups on Campus MMU on June 04, 2025. May be an image of 1 person and text that says 'Day4 Gemini in Action - -From Prompts to A Agents Mr Hassan Abid Chief iefTechnology Officer at BeLive 13th June 2025 (Friday) 8:00 PM- 10:00 PM Bevy Online Platform GoogleDeveloperGroups Google Developer Groups On Campus Campus-MultimaciaUniversty Multimedia University'.",DKglxddR500,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/503024337_18088618567721803_551949506152978063_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEIq2dd5fBV5xoxHqPYThOyfBtCMvVt4YOKFobcNFaAuum7k_XTDUVUBcZM0Z2L3v0&_nc_ohc=Ff3MBGffpeoQ7kNvwGMMdkm&_nc_gid=MI8Omb1qcPUlynYQDJqo_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMoevDmu9x4uHfpEv0Z2MWWlAivO_smGgJcSKQXM1X5AQ&oe=684CC1C5&_nc_sid=10d13b,,Google Developer Groups on Campus MMU,,2025-06-05T06:34:24.000Z,1,"- Title: ""Gemini in Action – From Prompts to AI Agents""   Speaker: Mr. Hassan Abid  Chief Technology Officer at BeLive- Date: 13th June 2025 (Friday)","""Gemini in Action – From Prompts to AI Agents"" Speaker:",20250613,,
